Configuration         | Term   |       J |              Level    |
3p6.34s               | 2S     |     1/2 |      4.32722510       |
                      |        |         |                       |
3p6.33d               | 2D     |     5/2 |     [4.32795738]      |
                      |        |     3/2 |     [4.32795751]      |
                      |        |         |                       |
3p6.35s               | 2S     |     1/2 |     [4.32803146]      |
                      |        |         |                       |
3p6.34d               | 2D     |     5/2 |      4.32869965       |
                      |        |     3/2 |      4.32869977       |
                      |        |         |                       |
3p6.36s               | 2S     |     1/2 |      4.32876738       |
                      |        |         |                       |
3p6.35d               | 2D     |     5/2 |     [4.32937876]      |
                      |        |     3/2 |     [4.32937886]      |
                      |        |         |                       |
3p6.37s               | 2S     |     1/2 |     [4.32944085]      |
                      |        |         |                       |
3p6.36d               | 2D     |     5/2 |      4.33000159       |
                      |        |     3/2 |      4.33000170       |
                      |        |         |                       |
3p6.38s               | 2S     |     1/2 |      4.33005869       |
                      |        |         |                       |
3p6.37d               | 2D     |     5/2 |     [4.33057431]      |
                      |        |     3/2 |     [4.33057440]      |
                      |        |         |                       |
3p6.39s               | 2S     |     1/2 |     [4.33062686]      |
                      |        |         |                       |
3p6.38d               | 2D     |     5/2 |      4.33110205       |
                      |        |     3/2 |      4.33110215       |
                      |        |         |                       |
3p6.40s               | 2S     |     1/2 |      4.33115056       |
                      |        |         |                       |
3p6.39d               | 2D     |     5/2 |     [4.33158946]      |
                      |        |     3/2 |     [4.33158953]      |
                      |        |         |                       |
3p6.41s               | 2S     |     1/2 |     [4.33163433]      |
                      |        |         |                       |
3p6.40d               | 2D     |     5/2 |      4.33204051       |
                      |        |     3/2 |      4.33204060       |
                      |        |         |                       |
3p6.42s               | 2S     |     1/2 |      4.33208212       |
                      |        |         |                       |
3p6.41d               | 2D     |     5/2 |     [4.33245875]      |
                      |        |     3/2 |     [4.33245883]      |
                      |        |         |                       |
3p6.43s               | 2S     |     1/2 |     [4.33249736]      |
                      |        |         |                       |
3p6.42d               | 2D     |     5/2 |      4.33284731       |
                      |        |     3/2 |     [4.33284736]      |
                      |        |         |                       |
3p6.44s               | 2S     |     1/2 |      4.33288319       |
                      |        |         |                       |
3p6.43d               | 2D     |     5/2 |     [4.33320885]      |
                      |        |     3/2 |     [4.33320893]      |
                      |        |         |                       |
3p6.45s               | 2S     |     1/2 |     [4.33324231]      |
                      |        |         |                       |
3p6.44d               | 2D     |     5/2 |     [4.33354590]      |
                      |        |     3/2 |     [4.33354598]      |
                      |        |         |                       |
3p6.46s               | 2S     |     1/2 |      4.33357712       |
                      |        |         |                       |
3p6.45d               | 2D     |     5/2 |     [4.33386060]      |
                      |        |     3/2 |     [4.33386066]      |
                      |        |         |                       |
3p6.46d               | 2D     |     5/2 |      4.33415486       |
                      |        |     3/2 |     [4.33415494]      |
----------------------|--------|---------|-----------------------|
                      |        |         |                       |
K II (3p6 1S<0>)      | Limit  |     --- |      4.34066345       |
