Configuration   | Term   |   J |           Level    |
                |        | 3/2 |      4.174057      |
                |        |     |                    |
4p6.70p         | 2P*    | 1/2 |      4.174148      |
                |        | 3/2 |      4.174148      |
                |        |     |                    |
4p6.71p         | 2P*    | 3/2 |      4.174236      |
                |        | 1/2 |      4.174236      |
                |        |     |                    |
4p6.72p         | 2P*    | 3/2 |      4.174313      |
                |        | 1/2 |      4.174313      |
                |        |     |                    |
4p6.73p         | 2P*    | 1/2 |      4.174398      |
                |        | 3/2 |      4.174398      |
                |        |     |                    |
4p6.74p         | 2P*    | 3/2 |      4.174468      |
                |        | 1/2 |      4.174468      |
                |        |     |                    |
4p6.75p         | 2P*    | 1/2 |      4.174549      |
                |        | 3/2 |      4.174549      |
                |        |     |                    |
4p6.76p         | 2P*    | 1/2 |      4.174623      |
                |        | 3/2 |      4.174623      |
                |        |     |                    |
4p6.77p         | 2P*    | 1/2 |      4.174680      |
                |        | 3/2 |      4.174680      |
----------------|--------|-----|--------------------|
                |        |     |                    |
Rb II .(1S<0>)  | Limit  | --- |      4.177128      |
